image_url,file_name,status,error
https://cdn.lookastic.com/looks/brown-leopard-bodycon-dress-black-satin-pumps-dark-brown-leopard-clutch-large-107849.jpg,data\images\brown-leopard-bodycon-dress-black-satin-pumps-dark-brown-leopard-clutch-large-107849.jpg,success,
https://cdn.lookastic.com/brown-studded-leather-thong-sandals-original-9742430.jpg,data\images\brown-studded-leather-thong-sandals-original-9742430.jpg,success,
https://cdn.lookastic.com/gold-necklace-original-3980275.jpg,data\images\gold-necklace-original-3980275.jpg,success,
https://cdn.lookastic.com/looks/blazer-maxi-dress-high-top-sneakers-large-107848.jpg,data\images\blazer-maxi-dress-high-top-sneakers-large-107848.jpg,success,
https://cdn.lookastic.com/black-and-white-leopard-maxi-dress-original-8517402.jpg,data\images\black-and-white-leopard-maxi-dress-original-8517402.jpg,success,
https://cdn.lookastic.com/looks/shirtdress-pumps-satchel-bag-large-107833.jpg,data\images\shirtdress-pumps-satchel-bag-large-107833.jpg,success,
https://cdn.lookastic.com/looks/tan-wool-sheath-dress-black-suede-pumps-yellow-leather-handbag-large-107822.jpg,data\images\tan-wool-sheath-dress-black-suede-pumps-yellow-leather-handbag-large-107822.jpg,success,
https://cdn.lookastic.com/black-turtleneck-original-2562387.jpg,data\images\black-turtleneck-original-2562387.jpg,success,
https://cdn.lookastic.com/looks/turtleneck-tank-dress-jeans-large-107840.jpg,data\images\turtleneck-tank-dress-jeans-large-107840.jpg,success,
https://cdn.lookastic.com/looks/sheath-dress-flat-sandals-clutch-large-107850.jpg,data\images\sheath-dress-flat-sandals-clutch-large-107850.jpg,success,
https://cdn.lookastic.com/blue-jeans-original-1508919.jpg,data\images\blue-jeans-original-1508919.jpg,success,
https://cdn.lookastic.com/black-leather-tote-bag-original-2365791.jpg,data\images\black-leather-tote-bag-original-2365791.jpg,success,
https://cdn.lookastic.com/brown-leopard-headband-original-3982121.jpg,data\images\brown-leopard-headband-original-3982121.jpg,success,
https://cdn.lookastic.com/looks/skater-dress-lace-up-flat-boots-headband-large-107830.jpg,data\images\skater-dress-lace-up-flat-boots-headband-large-107830.jpg,success,
https://cdn.lookastic.com/looks/purple-leopard-sheath-dress-burgundy-suede-heeled-sandals-burgundy-leather-waist-belt-large-107843.jpg,data\images\purple-leopard-sheath-dress-burgundy-suede-heeled-sandals-burgundy-leather-waist-belt-large-107843.jpg,success,
https://cdn.lookastic.com/looks/maxi-dress-tote-bag-belt-large-107832.jpg,data\images\maxi-dress-tote-bag-belt-large-107832.jpg,success,
https://cdn.lookastic.com/brown-leopard-maxi-dress-original-3885725.jpg,data\images\brown-leopard-maxi-dress-original-3885725.jpg,success,
https://cdn.lookastic.com/black-leather-belt-original-1664133.jpg,data\images\black-leather-belt-original-1664133.jpg,success,
https://cdn.lookastic.com/black-studded-bracelet-original-10334826.jpg,data\images\black-studded-bracelet-original-10334826.jpg,success,
https://cdn.lookastic.com/dark-brown-leather-lace-up-flat-boots-original-11410268.jpg,data\images\dark-brown-leather-lace-up-flat-boots-original-11410268.jpg,success,
https://cdn.lookastic.com/brown-bracelet-original-8924380.jpg,data\images\brown-bracelet-original-8924380.jpg,success,
https://cdn.lookastic.com/beige-necklace-original-3980195.jpg,data\images\beige-necklace-original-3980195.jpg,success,
https://cdn.lookastic.com/black-embroidered-suede-loafers-original-9686870.jpg,data\images\black-embroidered-suede-loafers-original-9686870.jpg,success,
https://cdn.lookastic.com/olive-suede-tote-bag-original-11348404.jpg,data\images\olive-suede-tote-bag-original-11348404.jpg,success,
https://cdn.lookastic.com/yellow-leopard-skater-dress-original-3914667.jpg,data\images\yellow-leopard-skater-dress-original-3914667.jpg,success,
https://cdn.lookastic.com/white-trenchcoat-original-1361121.jpg,data\images\white-trenchcoat-original-1361121.jpg,success,
https://cdn.lookastic.com/brown-leopard-sheath-dress-original-9812820.jpg,data\images\brown-leopard-sheath-dress-original-9812820.jpg,success,
https://cdn.lookastic.com/black-leather-crossbody-bag-original-2350887.jpg,data\images\black-leather-crossbody-bag-original-2350887.jpg,success,
https://cdn.lookastic.com/looks/red-leopard-sheath-dress-black-suede-ankle-boots-large-107841.jpg,data\images\red-leopard-sheath-dress-black-suede-ankle-boots-large-107841.jpg,success,
